bug_id,bug_report_analysis,suspicious_files,fixed_files
matplotlib__matplotlib-18869,"The bug report discusses the need to enhance the versioning information exposed by Matplotlib. Currently, the only version information available is `__version__`. The request is to additionally provide either a `version_info` tuple or a `LooseVersion` instance to facilitate quick comparisons of version strings. Keywords extracted include: `__version__`, `version_info`, `LooseVersion`, `usability improvement`. The potential affected components seem to involve Matplotlib's version handling and API files where version is defined.","{""ranked_list"": [{""file"": ""lib/matplotlib/__init__.py"", ""justification"": ""Includes method _check_versions() which deals with version checks for dependencies, suggesting it manages version information. The method 'get_configdir()' enhances configuration handling, relevant to version management.""}, {""file"": ""lib/matplotlib/rcsetup.py"", ""justification"": ""Holds the __init__ method which appears to be involved in configuring valid settings possibly related to versioning aspects. Potentially deals with validation related to versioning settings.""}, {""file"": ""lib/matplotlib/figure.py"", ""justification"": ""The __init__ method clears certain properties that may relate to versioning aspects. Not directly related to versioning, but fundamental to figure management which can be impacted by version updates.""}, {""file"": ""lib/matplotlib/pyplot.py"", ""justification"": ""Central to Matplotlib's plotting capabilities; relevant as version handling impacts how users interface with plotting APIs.""}, {""file"": ""setup.py"", ""justification"": ""Contains method run() that updates the matplotlibrc file's location, which contains configuration data, including potentially version specificity.""}]}",['lib/matplotlib/__init__.py']
matplotlib__matplotlib-22711,"The bug report addresses an issue with the `RangeSlider` widget from the `matplotlib.widgets` module, specifically an `IndexError` arising from attempting to assign a value using an out-of-bounds index in the `set_val` method. The line in question attempts to set `xy[4]`, which exceeds the current size of the `xy` array. The report suggests commenting out this line as a potential fix.","{""ranked_list"": [{""file"": ""lib/matplotlib/widgets.py"", ""justification"": ""This file contains the `RangeSlider` implementation where the bug occurs, specifically within the `set_val` method. The direct reference to the problematic line makes it the highest priority.""}, {""file"": ""examples/widgets/range_slider.py"", ""justification"": ""Contains examples and usage of the `RangeSlider`, which might highlight expected functionality and potential misuse related to the reported bug.""}, {""file"": ""lib/matplotlib/backends/backend_qt.py"", ""justification"": ""This file may handle the graphical representation of widgets, including the `RangeSlider`, which could provide additional context on how the widget is rendered and used.""}, {""file"": ""examples/widgets/slider_demo.py"", ""justification"": ""This demo shows slider functionality, which may include underlying principles and usage patterns of range sliders, potentially leading to insights about functional expectations.""}, {""file"": ""examples/widgets/slider_snap_demo.py"", ""justification"": ""Similar to the slider demo, this example may illustrate additional scenarios for using sliders in `matplotlib`, providing valuable examples of expected behavior.""}, {""file"": ""lib/matplotlib/axes/_base.py"", ""justification"": ""This file may define underlying axes behavior that could be relevant to how widgets interact with axes\u2014key to understanding the context of `RangeSlider`.""}, {""file"": ""lib/matplotlib/pyplot.py"", ""justification"": ""This file serves as the main interface to `matplotlib`; understanding its role can clarify how `RangeSlider` might be invoked or used in typical workflows.""}, {""file"": ""lib/matplotlib/colors.py"", ""justification"": ""Although not directly related, this file contains color handling which might be relevant depending on how colors interact with the slider's graphical representation.""}, {""file"": ""lib/matplotlib/image.py"", ""justification"": ""This file is relevant as it might relate to images displayed with the `RangeSlider`, which might help in identifying rendering problems.""}, {""file"": ""lib/matplotlib/artist.py"", ""justification"": ""This could be relevant if the bug is tied to how artistic elements are managed in `matplotlib`, potentially affecting the behavior of widgets.""}]}",['lib/matplotlib/widgets.py']
matplotlib__matplotlib-23299,"The bug report indicates that calling `matplotlib.get_backend()` results in the removal of figures from `Gcf.figs` if the figures were created in an `rc_context`. Highlighted keywords include: 'get_backend', 'Gcf', 'figures', and 'rc_context'. The primary function at risk is `get_backend`, which likely impacts how figures are managed from the global figure manager `Gcf`. The bug involves the `assert` that checks if the figure remains after calling `get_backend`.","{""ranked_list"": [{""file"": ""lib/matplotlib/__init__.py"", ""justification"": ""Contains the `get_backend()` method from which calling the backend directly removes figures. This function directly influences the bug's manifestation.""}, {""file"": ""lib/matplotlib/pyplot.py"", ""justification"": ""Contains calls to `get_backend` and manages figures through their context, specifically through how figures are created in an `rc_context`.""}, {""file"": ""lib/matplotlib/_pylab_helpers.py"", ""justification"": ""Manages global figures via `Gcf`, specifically methods like `get_active()` and `destroy_fig()`, which are critical to the issue where figures disappear.""}, {""file"": ""lib/matplotlib/figure.py"", ""justification"": ""Defines the figure objects, directly related to how figures are created and should be managed within contexts.""}, {""file"": ""lib/matplotlib/backends/backend_qt.py"", ""justification"": ""Implies usage within a Qt backend which is confirmed to be the issue context in this bug report.""}, {""file"": ""lib/matplotlib/backends/backend_agg.py"", ""justification"": ""As another backend definition, it may indirectly influence how figures are rendered and should respond to backend calls.""}, {""file"": ""lib/matplotlib/backends/_backend_gtk.py"", ""justification"": ""Similar to other backends, relevant for context as multiple backends can influence figure management.""}, {""file"": ""lib/matplotlib/backends/backend_template.py"", ""justification"": ""May define overarching backend behaviors that are crucial when responding to figure contexts.""}, {""file"": ""lib/matplotlib/backend_bases.py"", ""justification"": ""Includes implementations of various figures and backend management crucial to the rendering pipeline.""}, {""file"": ""lib/matplotlib/backends/backend_nbagg.py"", ""justification"": ""Important when considering different rendering options that might affect figure visibility in front-end contexts.""}]}",['lib/matplotlib/__init__.py']
matplotlib__matplotlib-23563,"The bug report describes an AttributeError regarding a 'Line3D' object, specifically mentioning that it has no attribute '_verts3d'. This suggests that there may be a problem in the way 3D lines are created or managed within matplotlib's 3D plotting functionalities. The error occurs after executing a plotting routine with matplotlib, particularly in a context dealing with 3D visuals created by the mpl_toolkits.mplot3d package.","{""ranked_list"": [{""file"": ""lib/mpl_toolkits/mplot3d/axes3d.py"", ""justification"": ""The 'axes3d.py' file contains the definition for the 'plot' method which is directly related to 3D plotting functionalities. The method includes logic for handling the z-coordinates, which are crucial when creating 3D plots. This aligns well with the error about 'Line3D' and its attributes.""}, {""file"": ""lib/mpl_toolkits/mplot3d/art3d.py"", ""justification"": ""'art3d.py' contains the 'set_3d_properties' method, which is relevant because it assigns the _verts3d attribute in the Line3D class. The bug report indicates an issue with this attribute, making this file particularly relevant to the bug.""}, {""file"": ""lib/matplotlib/axes/_axes.py"", ""justification"": ""This file includes the primary 'plot' method, which handles the plotting of 2D and potentially 3D data through its interactions with 3D plotting capabilities. Given the bug context, this file is relevant as the 3D plotting may be managed or invoked from here.""}, {""file"": ""lib/matplotlib/pyplot.py"", ""justification"": ""'pyplot.py' provides a high-level interface to matplotlib and includes a call to the 'plot' function. The relationship between this file and the bug arises from the fact that user-generated plotting commands ultimately invoke functions in the lower-level modules, such as those in 'axes3d'.""}, {""file"": ""lib/matplotlib/tests/test_lines.py"", ""justification"": ""The test file 'test_lines.py' likely contains unit tests for line plotting functionalities, potentially including those for 3D lines. Tests in this file could reveal interactions or issues relevant to the reported bug.""}, {""file"": ""lib/mpl_toolkits/mplot3d/axis3d.py"", ""justification"": ""This file is part of the mpl_toolkits and may contain additional definitions or interactions that affect how axes are created and manipulated in a 3D context, possibly leading to the reported error.""}, {""file"": ""lib/mpl_toolkits/tests/test_mplot3d.py"", ""justification"": ""This is another test file that could contain tests specifically for the mpl_toolkits designed for 3D plotting, directly affecting the scenario described in the bug report.""}, {""file"": ""lib/matplotlib/tests/test_artist.py"", ""justification"": ""This file contains tests related to the artist objects in matplotlib which may also include plot styles affecting the Line3D object, relevant to the behavior seen during the bug.""}, {""file"": ""lib/matplotlib/lines.py"", ""justification"": ""As the lines module provides core functionalities for line plotting, issues related to line attributes, such as the one mentioned, could originate from this file.""}, {""file"": ""lib/matplotlib/backends/backend_agg.py"", ""justification"": ""This backend handles rendering and might be involved in presenting 3D plot elements, including Lines, thereby indirectly relevant to the AttributeError observed.""}]}",['lib/mpl_toolkits/mplot3d/art3d.py']
matplotlib__matplotlib-23562,"The bug report indicates that the 'Poly3DCollection' object in the matplotlib library is missing the attribute '_facecolors2d'. This suggests that the bug likely resides within the classes or methods that handle collection of 3D polygons. The code example further demonstrates the failure occurring when attempting to obtain face colors using the 'get_facecolors()' method. Important functions to investigate include initialization methods and any face color manipulation methods, particularly in the context of 3D plotting within matplotlib.","{""ranked_list"": [{""file"": ""lib/mpl_toolkits/mplot3d/art3d.py"", ""justification"": ""The file contains the implementation of the 'Poly3DCollection' class, where the '_facecolors2d' attribute is directly referenced in the 'get_facecolor()' method. This makes it the primary candidate for investigation into the bug.""}, {""file"": ""lib/mpl_toolkits/mplot3d/axes3d.py"", ""justification"": ""This file includes methods such as 'plot_surface()' and 'add_collection3d()' that interact with 3D collections which may indirectly involve the '_facecolors2d' attribute, as they manage the plotting of surfaces and collections in a 3D space.""}, {""file"": ""lib/matplotlib/collections.py"", ""justification"": ""This file has methods that deal with 'facecolors' and edge colors, which are important for understanding how colors are managed across collections, including those used in 3D graphics.""}, {""file"": ""lib/matplotlib/__init__.py"", ""justification"": ""This file may include class and method definitions affecting the initialization and extension of 3D plotting tools, which can be related to the properties of 3D collections.""}, {""file"": ""lib/mpl_toolkits/tests/test_mplot3d.py"", ""justification"": ""Contains test cases for the 3D functionalities of matplotlib and may reveal direct tests related to the face colors of 'Poly3DCollection', thus providing insights into underlying issues.""}, {""file"": ""lib/matplotlib/tri/tripcolor.py"", ""justification"": ""Although this file deals with triplet color mapping, its interactions with color properties may contribute to the overall understanding of how colors are managed within 3D objects.""}, {""file"": ""lib/matplotlib/tests/test_artist.py"", ""justification"": ""This test may contain checks on artwork adjustments including face colors which are related to how 3D collections are handled.""}, {""file"": ""lib/matplotlib/tests/test_triangulation.py"", ""justification"": ""This test file includes checks specifically related to triangulations that may also deal with collection face colors.""}, {""file"": ""lib/matplotlib/backends/backend_svg.py"", ""justification"": ""It may involve rendering mechanisms that could indirectly impact how collections are visually represented, particularly colors.""}]}",['lib/mpl_toolkits/mplot3d/art3d.py']
matplotlib__matplotlib-22835,"The bug report describes a crash occurring when using `BoundaryNorm` alongside a scalar mappable, specifically during the invocation of the `format_cursor_data` method. Keywords and error messages indicate that the relevant components are `format_cursor_data`, `BoundaryNorm`, and any processes associated with managing visualization (like updating cursor data). The error suggests a potential issue in how `BoundaryNorm` handles values that are not invertible. Additionally, the user expresses uncertainty about whether to include checks or modify `BoundaryNorm` to be invertible.","{""ranked_list"": [{""file"": ""lib/matplotlib/artist.py"", ""justification"": ""Contains the method 'format_cursor_data' which directly relates to the bug report; the method attempts to use 'self.norm.inverse', which leads to the crash if the norm is not invertible.""}, {""file"": ""lib/matplotlib/colors.py"", ""justification"": ""Implements 'BoundaryNorm' and the 'inverse' method, which is critical to understanding the nature of the bug regarding the non-invertibility error.""}, {""file"": ""lib/matplotlib/colorbar.py"", ""justification"": ""Contains 'update_normal' which may interact with 'cmap' and 'norm'; understanding the relationship between mappers and colorbars can provide insight into the bug.""}, {""file"": ""lib/matplotlib/image.py"", ""justification"": ""Contains 'get_cursor_data', which is relevant for cursor interactions in graphics and may contain logic that interfaces with 'format_cursor_data'.""}, {""file"": ""lib/matplotlib/tests/test_colorbar.py"", ""justification"": ""Contains multiple test methods directly related to colorbar behavior with boundary norms and could provide test cases that expose the crash scenario.""}]}",['lib/matplotlib/artist.py']
matplotlib__matplotlib-23476,"The bug report highlights an issue where the DPI (dots per inch) of a figure gets doubled upon unpickling, particularly noted to happen on M1 MacBooks. This could be tied to how the figure's state is restored from a pickle file during the unpickling process. Keywords extracted from the report include 'DPI', 'unpickling', 'figure', 'OverflowError', and the context involves matplotlib's functionality regarding figure management across different backends, specifically the macOS backend.","{""ranked_list"": [{""file"": ""lib/matplotlib/figure.py"", ""justification"": ""The '__setstate__' method directly handles the restoration of the figure's state during unpickling, including potential re-initialization of internal attributes like DPI. Given the bug involves doubled DPI upon unpickling, this file is crucial.""}, {""file"": ""lib/matplotlib/backends/backend_macosx.py"", ""justification"": ""This file includes backend-specific implementations that handle drawing on macOS. The issue may arise from how figures are rendered specifically in this backend, especially given that the bug occurs exclusively on M1 Mac systems.""}, {""file"": ""lib/matplotlib/backend_bases.py"", ""justification"": ""The 'points_to_pixels' method is relevant as it involves converting points to pixels, which is involved in determining image dimensions and potentially DPI settings. Understanding how DPI is calculated and applied here can shed light on the issue.""}, {""file"": ""lib/matplotlib/image.py"", ""justification"": ""Involves the creation of images and rendering. Since DPI directly affects image rendering and how images are displayed in matplotlib, this file could hold key methods for handling DPI-related settings.""}, {""file"": ""lib/matplotlib/tests/test_pickle.py"", ""justification"": ""This test file contains tests for pickling figures, including the 'test_unpickle_canvas' method, which ensures that a canvas can be unpickled properly. Investigating how it tests unpickling can validate the issue further.""}, {""file"": ""lib/matplotlib/tests/test_image.py"", ""justification"": ""Contains tests for image functionalities within matplotlib, including rendering which may be affected by DPI settings. The 'test_figimage' function tests image placement with specific DPI settings.""}, {""file"": ""lib/matplotlib/tests/test_backend_bases.py"", ""justification"": ""Includes tests for canvas behavior and backend interactions. The 'test_canvas_ctor' and 'test_canvas_change' methods examine how canvas changes are handled and could expose issues in DPI applications during figure interactions.""}, {""file"": ""lib/matplotlib/backend_bases.py"", ""justification"": ""The interaction of different drawing commands may also depend on DPI for correct visual representation and could relate to the reported overflow error during rendering.""}]}",['lib/matplotlib/figure.py']
matplotlib__matplotlib-23913,"The bug report requests the ability to set the ""draggable"" property during the initialization of the Legend class. Currently, it suggests that this functionality requires a post-creation call to set the ""draggable"" property, indicating that this could be a design oversight. The keywords to focus on are ""draggable"", ""Legend"", ""init"", and the concept of ease-of-use from the user's perspective who wants to set this property at creation time instead of after. The affected components include the Legend class, potentially located in `lib/matplotlib/legend.py`, which is likely to contain the initialization code.","{""ranked_list"": [{""file"": ""lib/matplotlib/legend.py"", ""justification"": ""The `legend.py` file contains the Legend class, which is directly related to the functionality described in the bug report. The `__init__` methods within this file control how legends are created, making it the primary target for edits related to making legends draggable at creation.""}, {""file"": ""lib/matplotlib/legend_handler.py"", ""justification"": ""Potentially supports visual representation elements related to legends and could hold configurations for how drag-and-drop functionality is handled.""}, {""file"": ""lib/matplotlib/figure.py"", ""justification"": ""Responsible for higher-level drawing and contains methods that might indirectly influence how legends are added to figures.""}, {""file"": ""lib/matplotlib/backends/qt_editor/figureoptions.py"", ""justification"": ""Could have options that configure figure elements, including legends; relevant due to potential UI options for draggable legends.""}, {""file"": ""lib/matplotlib/axes/_axes.py"", ""justification"": ""Handles lower-level axis drawings, could be impacted by changes in legend behavior as it interacts with axis elements.""}, {""file"": ""lib/matplotlib/artist.py"", ""justification"": ""Contains base class for all objects which are drawn in the figure; if draggable functionality needs updates, this may be relevant.""}, {""file"": ""lib/matplotlib/widgets.py"", ""justification"": ""Interpretation of widgets may provide insights on how the legend interacts with the user interface for drag and drop operations.""}, {""file"": ""lib/mpl_toolkits/mplot3d/axes3d.py"", ""justification"": ""Similar structure as the standard axes, understanding how 3D axes can handle legend positioning may provide insight into the behavior.""}, {""file"": ""lib/mpl_toolkits/axisartist/axislines.py"", ""justification"": ""Hub for handling axis lines in which legends could influence clickable areas, potentially related to drag operations.""}]}",['lib/matplotlib/legend.py']
matplotlib__matplotlib-23964,"The bug report highlights a TypeError that occurs when saving figures with the PostScript backend of Matplotlib, specifically mentioning a multi-line text label with an empty line. The error message indicates that unpacking of a NoneType object fails, suggesting there is an issue with the handling of text during the rendering process for figures in EPS format. This likely relates to the function responsible for drawing text, as indicated in both the bug description and the traceback. Keywords from the report include 'TypeError', 'PostScript backend', and 'draw_text', which are crucial for identifying relevant areas in the codebase that may need examination. Since the bug affects certain versions of Matplotlib and is not present in earlier ones (3.5.3 and below), this could indicate a recent regression in the text rendering functionality.","{""ranked_list"": [{""file"": ""lib/matplotlib/backends/backend_ps.py"", ""justification"": ""Contains the 'draw_text' method which processes text rendering for figures. The bug occurs during saving figures, directly linking it to the method's logic. Analyzing the 'draw_text' implementation reveals how the positions and font metrics are managed, which may expose the cause of the TypeError when dealing with empty lines.""}, {""file"": ""lib/matplotlib/figure.py"", ""justification"": ""Implements the 'savefig' method influencing figure saving operations. This function is critical as it orchestrates drawing and rendering tasks, including platform-specific behaviors in the PostScript backend, which may interact with text rendering.""}, {""file"": ""lib/matplotlib/backends/backend_pdf.py"", ""justification"": ""The 'draw_text' implementation might share characteristics with the EPS backend. Understanding its method could reveal issues pertinent to text handling in general within Matplotlib's rendering mechanism, shedding light on the commonalities between backends.""}, {""file"": ""lib/matplotlib/backends/backend_svg.py"", ""justification"": ""Another backend's 'draw_text' method that handles text rendering. It can provide insights into how different backends manage text and whether the empty line issue might arise similarly elsewhere.""}, {""file"": ""lib/matplotlib/backends/backend_agg.py"", ""justification"": ""This backend also manages text rendering, similar to the others. Investigating this code could uncover deviations in text handling that are consistent or disparate with the PostScript's behavior.""}, {""file"": ""lib/matplotlib/backend_bases.py"", ""justification"": ""Defines base functionalities for various backends, including generic text drawing techniques. The underlying logic might impact specific text behavior, especially the conditions leading to NoneType errors.""}, {""file"": ""lib/matplotlib/text.py"", ""justification"": ""Handles text attributes and layout in Matplotlib plots. Given that the bug involves text attributes (multi-line text with empty lines), there may be relevant implementations affecting how text is packed and rendered.""}, {""file"": ""lib/matplotlib/backends/backend_template.py"", ""justification"": ""Serves as a fallback implementation for drawing operations. Its method structures potentially reflect on default behaviors that could omit checks for edge cases resulting in NoneType errors.""}, {""file"": ""lib/matplotlib/backends/backend_cairo.py"", ""justification"": ""Analyzing another backend\u2019s text drawing gives further context on how other rendering engines deal with similar logic and if the assignments of NoneType affect text positioning.""}, {""file"": ""lib/matplotlib/backends/backend_pgf.py"", ""justification"": ""Like other backends, this implementation of text rendering could unearth various text processing strategies and behaviors that either mitigate or exacerbate the reported bug.""}]}",['lib/matplotlib/backends/backend_ps.py']
matplotlib__matplotlib-23314,"The bug report concerns the functionality of the `set_visible()` method when dealing with 3D projections in Matplotlib. The user states that even when `set_visible(False)` is called, the subplot remains visible, which is contrary to expected behavior. Keywords extracted from the report include 'set_visible', '3D projection', 'subplot', 'not visible', 'True', and 'False'. The mention of Matplotlib's version (3.4.2) suggests that our analysis should consider changes or bugs associated with this release. The problem appears to be situated in the rendering logic or visibility management of 3D axis objects within Matplotlib.","{""ranked_list"": [{""file"": ""lib/mpl_toolkits/mplot3d/axes3d.py"", ""justification"": ""This file contains the `set_visible()` method tailored for 3D axes; it is critical to the bug since it directly influences the subplot visibility in 3D contexts. Further, the `set_axis_off()` method indicates how the axis is rendered and manages visibility states.""}, {""file"": ""lib/mpl_toolkits/axes_grid1/mpl_axes.py"", ""justification"": ""This file's `set_visible()` method calls another internal method `toggle()` that handles visibility, which may affect how other related axes are displayed. Analyzing this logic can unveil potential mismanagement of visibility flags set in 3D projections.""}, {""file"": ""lib/matplotlib/artist.py"", ""justification"": ""Holds the base `set_visible()` method used across several artists in Matplotlib, likely influencing the behavior of various plot components, including subplots. The method implementation includes visibility state management which is critical for understanding overall rendering.""}, {""file"": ""lib/matplotlib/widgets.py"", ""justification"": ""Although focused on widgets, the `set_visible()` method defined here sets visibility for artist components, including potential elements that interact with the subplot, which may indirectly influence the issue.""}, {""file"": ""lib/matplotlib/figure.py"", ""justification"": ""The figure handling logic can also influence subplot management and visibility, making it relevant as it ties into how subplots are arranged and displayed, further influencing `set_visible()` behavior.""}, {""file"": ""lib/matplotlib/tests/test_axes.py"", ""justification"": ""This file likely contains tests related to axes' behavior, including visibility functions. Its findings may help confirm or deny issues with the current functionality of `set_visible()`.""}, {""file"": ""lib/mpl_toolkits/tests/test_mplot3d.py"", ""justification"": ""Contains tests explicitly designed for 3D plotting functionality, including visibility checks of axes under different conditions, making it central to validating the bug and any fixes.""}, {""file"": ""lib/matplotlib/tests/test_artist.py"", ""justification"": ""Tests for the artist classes, particularly concerning the `set_visible()` method, can help confirm whether the intended visibility behavior collapses due to bug or misconfiguration.""}]}",['lib/mpl_toolkits/mplot3d/axes3d.py']
